line_item,statement,kind,taxonomy,concept,priority
revenue,income,duration,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,1
revenue,income,duration,us-gaap,Revenues,2
revenue,income,duration,us-gaap,SalesRevenueNet,3
revenue,income,duration,us-gaap,SalesRevenueGoodsNet,4
cost_of_revenue,income,duration,us-gaap,CostOfRevenue,1
cost_of_revenue,income,duration,us-gaap,CostOfGoodsAndServicesSold,2
cost_of_revenue,income,duration,us-gaap,CostOfGoodsSold,3
gross_profit,income,duration,us-gaap,GrossProfit,1
research_and_development,income,duration,us-gaap,ResearchAndDevelopmentExpense,1
sga,income,duration,us-gaap,SellingGeneralAndAdministrativeExpense,1
operating_expenses,income,duration,us-gaap,OperatingExpenses,1
operating_expenses,income,duration,us-gaap,CostsAndExpenses,2
operating_income,income,duration,us-gaap,OperatingIncomeLoss,1
interest_expense,income,duration,us-gaap,InterestExpense,1
interest_expense,income,duration,us-gaap,InterestExpenseNonoperating,2
pretax_income,income,duration,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1
pretax_income,income,duration,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,2
income_tax,income,duration,us-gaap,IncomeTaxExpenseBenefit,1
net_income,income,duration,us-gaap,NetIncomeLoss,1
net_income,income,duration,us-gaap,ProfitLoss,2
eps_basic,income,per_share,us-gaap,EarningsPerShareBasic,1
eps_diluted,income,per_share,us-gaap,EarningsPerShareDiluted,1
dividends_per_share,income,per_share,us-gaap,CommonStockDividendsPerShareDeclared,1
dividends_per_share,income,per_share,us-gaap,CommonStockDividendsPerShareCashPaid,2
shares_basic,income,shares,us-gaap,WeightedAverageNumberOfSharesOutstandingBasic,1
shares_diluted,income,shares,us-gaap,WeightedAverageNumberOfDilutedSharesOutstanding,1
cash,balance,instant,us-gaap,CashAndCashEquivalentsAtCarryingValue,1
cash,balance,instant,us-gaap,Cash,2
cash,balance,instant,us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,3
short_term_investments,balance,instant,us-gaap,ShortTermInvestments,1
short_term_investments,balance,instant,us-gaap,MarketableSecuritiesCurrent,2
short_term_investments,balance,instant,us-gaap,AvailableForSaleSecuritiesDebtSecuritiesCurrent,3
receivables,balance,instant,us-gaap,AccountsReceivableNetCurrent,1
receivables,balance,instant,us-gaap,ReceivablesNetCurrent,2
inventory,balance,instant,us-gaap,InventoryNet,1
current_assets,balance,instant,us-gaap,AssetsCurrent,1
ppe_net,balance,instant,us-gaap,PropertyPlantAndEquipmentNet,1
goodwill,balance,instant,us-gaap,Goodwill,1
intangibles,balance,instant,us-gaap,IntangibleAssetsNetExcludingGoodwill,1
total_assets,balance,instant,us-gaap,Assets,1
accounts_payable,balance,instant,us-gaap,AccountsPayableCurrent,1
current_liabilities,balance,instant,us-gaap,LiabilitiesCurrent,1
long_term_debt,balance,instant,us-gaap,LongTermDebtNoncurrent,1
long_term_debt,balance,instant,us-gaap,LongTermDebt,2
long_term_debt,balance,instant,us-gaap,LongTermDebtAndCapitalLeaseObligations,3
total_liabilities,balance,instant,us-gaap,Liabilities,1
stockholders_equity,balance,instant,us-gaap,StockholdersEquity,1
stockholders_equity,balance,instant,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2
retained_earnings,balance,instant,us-gaap,RetainedEarningsAccumulatedDeficit,1
shares_outstanding,balance,shares,us-gaap,CommonStockSharesOutstanding,1
shares_outstanding,balance,shares,dei,EntityCommonStockSharesOutstanding,2
ocf,cashflow,duration,us-gaap,NetCashProvidedByUsedInOperatingActivities,1
ocf,cashflow,duration,us-gaap,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,2
capex,cashflow,duration,us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,1
capex,cashflow,duration,us-gaap,PaymentsToAcquireProductiveAssets,2
investing_cash_flow,cashflow,duration,us-gaap,NetCashProvidedByUsedInInvestingActivities,1
financing_cash_flow,cashflow,duration,us-gaap,NetCashProvidedByUsedInFinancingActivities,1
depreciation_amortization,cashflow,duration,us-gaap,DepreciationDepletionAndAmortization,1
depreciation_amortization,cashflow,duration,us-gaap,DepreciationAndAmortization,2
depreciation_amortization,cashflow,duration,us-gaap,DepreciationAmortizationAndAccretionNet,3
stock_based_compensation,cashflow,duration,us-gaap,ShareBasedCompensation,1
stock_based_compensation,cashflow,duration,us-gaap,AllocatedShareBasedCompensationExpense,2
dividends_paid,cashflow,duration,us-gaap,PaymentsOfDividends,1
dividends_paid,cashflow,duration,us-gaap,PaymentsOfDividendsCommonStock,2
buybacks,cashflow,duration,us-gaap,PaymentsForRepurchaseOfCommonStock,1
debt_issued,cashflow,duration,us-gaap,ProceedsFromIssuanceOfLongTermDebt,1
debt_repaid,cashflow,duration,us-gaap,RepaymentsOfLongTermDebt,1
